nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDN Jati Pulo 03 Pg.,Jl. Semangka II No. 34,Palmerah,Padat/Kumuh
SDN Jati Pulo 04 Pt.,Jl. Semangka II No. 34,Palmerah,Padat/Kumuh
SDN Jatinegara 06 Pg.,"DR. KRT. Radjiman Widyodiningrat, Pulo Jahe",Cakung,Padat/Kumuh
SDN Jatinegara 12 Pt.,Jl. Radjiman Widyodiningrat Pulo Jahe,Cakung,Padat/Kumuh
SDN Jatinegara 15 Pg.,Jl. Dr. KRT. Radjiman Widyodiningrat Kp. Rawa Badung,Cakung,Padat/Kumuh
SDN Jatinegara Kaum 03 Pg.,Jl. Raya Bekasi Km. 18,Pulo Gadung,Padat/Kumuh
SDN Jatinegara Kaum 04 Pt.,Jl. Raya Bekasi Km. 17,Pulo Gadung,Padat/Kumuh
SDN Jatinegara Kaum 06 Pg.,Jl. Tanah Koja II,Pulo Gadung,Padat/Kumuh
SDN Jatinegara Kaum 15 Pg.,Jl. Jatinegara Kaum Raya No. 3,Pulo Gadung,Padat/Kumuh
SDN Jelambar Baru 06 Pt.,Jl. Jelambar Selatan XVI,Grogol Petamburan,Padat/Kumuh
SDN Jelambar Baru 09 Pg.,Jl. Sukajaya I,Grogol Petamburan,Padat/Kumuh
SDN Jembatan Besi 01 Pg.,Jl. Jembatan Besi IX No. 31,Tambora,Padat/Kumuh
SDN Jembatan Besi 03 Pg.,Jl. Jembatan Besi IX No. 31,Tambora,Padat/Kumuh
SDN Jembatan Besi 04 Pt.,Jl. Jembatan Besi IX No. 31,Tambora,Padat/Kumuh
SDN Jembatan Lima 01 Pg.,Jl. K.H. Moh. Mansyur II Sawah Lio Gg. 2 No. 8A,Tambora,Padat/Kumuh
SDN Jembatan Lima 02 Pt.,Jl. K.H. Moh. Mansyur II,Tambora,Padat/Kumuh
SDN Jembatan Lima 03 Pg.,Jl. K.H. Moh. Mansyur II,Tambora,Padat/Kumuh
SDN Jembatan Lima 04 Pt.,Jl. K.H. Moh. Mansyur II,Tambora,Padat/Kumuh
SDN Johar Baru 03 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,Padat/Kumuh
SDN Johar Baru 13 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 14 Pt.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 15 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 16 Pt.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 17 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 18 Pt.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 19 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,Padat/Kumuh
SDN Johar Baru 21 Pg.,Jl. Kramat Jaya Baru Blok H-1,Johar Baru,Padat/Kumuh
SDN Johar Baru 23 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,Padat/Kumuh
SDN Kali Anyar 01 Pg.,Jl. Kali Anyar IV Gg. I No. 1,Tambora,Padat/Kumuh
SDN Kali Anyar 02 Pt.,Jl. Kali Anyar IV Gg. I No. 1,Tambora,Padat/Kumuh
SDN Kali Baru 01 Pg.,Jl. Kalibaru Timur IV,Cilincing,Padat/Kumuh
SDN Kali Baru 03 Pg.,Jl. Kali Baru Timur III F No. 2,Cilincing,Padat/Kumuh
SDN Kali Baru 06 Pt.,Jl. Kalibaru Barat IV No. 60,Cilincing,Padat/Kumuh
SDN Kali Baru 08 Pt.,Jl. Tanah Merdeka No. 60,Cilincing,Padat/Kumuh
SDN Kalibata 11 Pg.,Jl. Kalibata Tengah,Pancoran,Padat/Kumuh
SDN Kalideres 09 Pg.,"Jl. Daan Mogot Km. 15,6",Kalideres,Padat/Kumuh
SDN Kalideres 10 Pg.,"Jl. Daan Mogot Km. 15,6",Kalideres,Padat/Kumuh
SDN Kalisari 07 Pg.,Jl. Raya Kalisari,Pasar Rebo,Padat/Kumuh
SDN Kalisari 10 Pt.,Jl. Raya Kalisari RT006/RW02,Pasar Rebo,Padat/Kumuh
SDN Kamal 01 Pg.,Jl. Kebon Dua Ratus RT03/RW06,Kalideres,Padat/Kumuh
SDN Kamal 07 Pg.,Jl. Prepedan,Kalideres,Padat/Kumuh
SDN Kampung Bali 01 Pg.,Jl. Jatibaru Raya No. 10,Tanah Abang,Padat/Kumuh
SDN Kampung Bali 02 Pt.,Jl. Jati Baru No. 10,Tanah Abang,Padat/Kumuh
SDN Kampung Melayu 01 Pg.,Jl. Kb. Pala I No. 34,Jatinegara,Padat/Kumuh
SDN Kampung Melayu 02 Pt.,Jl. Kb. Pala I No. 34,Jatinegara,Padat/Kumuh
