nama_sekolah,alamat,akreditasi
SDN Cilincing 06 Pg.,Jl. Sungai Landak No. 37,A
SDN Cilincing 07 Pg.,Jl. Bulak Cabe,A
SDN Cilincing 08 Pg.,Jl. Pedongkelan RT001/RW06,A
SDN Cilincing 09 Pg.,Jl. Bhakti VIII No. 12,A
SDN Cipayung 01 Pg.,Jl. Komp. Perwira TNI AD,A
SDN Cipayung 02 Pg.,Jl. Komp. Perwira TNI AD,A
SDN Cipayung 03 Pg.,Jl. Pelatnas PBSI,A
SDN Cipayung 04 Pg.,Jl. SMAN 64,A
SDN Cipayung 05 Pg.,Jl. Bambu Petung,A
SDN Cipayung 07 Pt.,Jl. Bambu Petung,A
SDN Cipayung 08 Pt.,Jl. Komp. Perwira TNI AD,A
SDN Cipedak 01 Pg.,Jl. R.M. Moh. Khahfi I,A
SDN Cipedak 03 Pg.,Jl. Timbul,A
SDN Cipedak 04 Pg.,Jl. Timbul,A
SDN Cipedak 05 Pg.,Jl. RM. Kahfi I Cipedak Gg. Swadaya,A
SDN Cipedak 06 Pg.,Jl. Swadaya RT001/RW02,A
SDN Cipete Selatan 01 Pg.,Jl. Asem II,A
SDN Cipete Selatan 03 Pg.,"Komp. BRI, Jl. Anggur II",A
SDN Cipete Selatan 05 Pg.,Jl. Mawar,A
SDN Cipete Selatan 08 Pt.,"Komp. BRI, Jl. Anggur II",A
SDN Cipete Utara 03 Pg.,Jl. RS. Fatmawati,A
SDN Cipete Utara 05 Pg.,Jl. K. H. Naim III,A
SDN Cipete Utara 07 Pg.,Jl. KH. Naim III,A
SDN Cipete Utara 09 Pg.,Jl. Kirai Ujung No. 1,A
SDN Cipete Utara 10 Pg.,Jl. Kirai Ujung No. 1,A
SDN Cipete Utara 11 Pg.,Jl. Kirai Ujung,A
SDN Cipete Utara 12 Pg.,Jl. Kirai Ujung No. 1,A
SDN Cipete Utara 13 Pg.,Jl. K. H. Moch. Naim III No. 29,A
SDN Cipete Utara 14 Pg.,Jl. K. H. Moch. Naim III No. 29,A
SDN Cipete Utara 15 Pg.,Jl. Sawo III No. 8,A
SDN Cipete Utara 16 Pg.,Jl. Sawo III No. 8,A
SDN Cipinang 01 Pg.,Jl. Bunyu Komp. Pertamina,A
SDN Cipinang 03 Pg.,Jl. Cipinang Timur III No. 3,A
SDN Cipinang 05 Pg.,Jl. Raya Bekasi Timur,A
SDN Cipinang Besar Selatan 03 Pg.,Jl. Cipinang Jaya II No. 1,A
SDN Cipinang Besar Selatan 15 Pg.,Jl. Cipinang Jaya Gg. Ujung No. 15,A
SDN Cipinang Besar Selatan 16 Pg.,Jl. Pancawarga IV No. 8,A
SDN Cipinang Besar Selatan 17 Pg.,Jl. Pancawarga IV No. Gg. VIII,A
SDN Cipinang Besar Selatan 20 Pg.,Jl. Pancawarga I Gg. 16,A
SDN Cipinang Besar Utara 03 Pg.,Jl. Bekasi Timur IV No. 1,A
SDN Cipinang Besar Utara 05 Pg.,Jl. Cipinang Latihan RT03/RW10,A
SDN Cipinang Besar Utara 09 Pg.,Jl. Cipinang Latihan No. 6,A
SDN Cipinang Cempedak 01 Pg.,Jl. Otista III,A
SDN Cipinang Cempedak 02 Pg.,Jl. Otista III,A
SDN Cipinang Cempedak 06 Pg.,"Kavling, Jl. Bhineka IV Cawang",A
SDN Cipinang Cempedak 08 Pt.,Jl. Pedati Dalam,A
SDN Cipinang Cempedak 09 Pg.,Jl. SD Inpres No. 2,A
SDN Cipinang Melayu 03 Pg.,"KPAD Kodam, Jl. Kartika Eka Paksi, Jatiwaringin",A
SDN Cipinang Melayu 04 Pg.,Jl. Kartika Eka Paksi,A
SDN Cipinang Melayu 07 Pg.,Jl. Inspeksi Tarum Barat No. 112,A
SDN Cipinang Melayu 08 Pg.,Jl. Inspeksi Tarum Barat No. 113,A
SDN Cipinang Melayu 09 Pg.,"Komp. Auri Curug Indah, Jl. Elang Thainesia",A
SDN Cipinang Melayu 10 Pg.,Jl. Elang Thainesia,A
SDN Cipinang Melayu 12 Pt.,Jl. Kartika Eka Paksi,A
SDN Cipinang Muara 01 Pg.,Jl. Cipinang Lontar Indah No. 38,A
SDN Cipinang Muara 02 Pg.,Jl. Raya Cipinang Muara,A
SDN Cipinang Muara 05 Pg.,"Komp. PWI, Jl. Buletin",A
SDN Cipinang Muara 06 Pg.,Jl. Komp. Cipinang Elok I/II,A
SDN Cipinang Muara 07 Pg.,Jl. Komp. Cipinang Elok II Blok AV,A
SDN Cipinang Muara 12 Pg.,Jl. Cipinang Lontar Indah No. 38,A
SDN Cipinang Muara 14 Pg.,Jl. Cipinang Muara III,A
SDN Cipinang Muara 15 Pg.,Jl. Cipinang Muara III,A
SDN Cipinang Muara 17 Pg.,Jl. Cipinang Muara III,A
SDN Cipinang Muara 18 Pg.,Jl. D. Komp. Cipinang Indah,A
SDN Cipinang Muara 19 Pg.,Jl. Cipinang Indah Raya 51,A
SDN Cipulir 01 Pg.,Jl. Cipulir VI No. 1,A
SDN Cipulir 02 Pt.,Jl. Cipulir VI,A
SDN Cipulir 03 Pg.,Jl. Ciledug Raya 56,A
SDN Cipulir 04 Pt.,Jl. Ciledug Raya,A
SDN Cipulir 05 Pg.,"Jl. Cipulir I No. 31, Cipulir",A
SDN Cipulir 07 Pg.,Jl. Kb. Mangga I RT012/RW03,A
SDN Cipulir 11 Pg.,Jl. Samudra I,A
SDN Ciracas 01 Pg.,Jl. Raya Bogor Km. 25,A
SDN Ciracas 02 Pt.,Jl. Raya Bogor Km. 25,A
SDN Ciracas 03 Pg.,Jl. Centex RT003/RW03,A
SDN Ciracas 04 Pg.,Jl. Raya Centex No. 1,A
SDN Ciracas 05 Pg.,Jl. H. Hanafi No. 35,A
SDN Ciracas 06 Pg.,Jl. H. Hanafi No. 36,A
SDN Ciracas 07 Pg.,Jl. Raya Centex Gg. Kramat,A
SDN Ciracas 08 Pg.,Jl. Centex Gg. Kramat,A
SDN Ciracas 10 Pg.,Jl. Raya Ciracas,A
SDN Ciracas 11 Pg.,Jl. Pengantin Ali No. 40,A
SDN Ciracas 12 Pt.,Jl. Raya Ciracas,A
SDN Ciracas 13 Pg.,Jl. Poncol Gg. Asem No. 3,A
SDN Ciracas 14 Pg.,Jl. Poncol Gg. Asem,A
SDN Ciracas 15 Pg.,Jl. Pengantin Ali No. 40,A
SDN Ciracas 16 Pt.,Jl. Raya Poncol Gg. Asem,A
SDN Ciracas 17 Pt.,Jl. Poncol Gg. Asem No. 3,A
SDN Dukuh 01 Pg.,Jl. Raya Pondok Gede,A
SDN Dukuh 04 Pg.,Jl. Dukuh V,A
